Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
Quirkies,6.95Ξ,5,1.32Ξ,-5.28%,40%,4,7.20%,0.10%
Impostors Genesis,6.78Ξ,10,0.48Ξ,-0.05%,44%,-2,2.90%,-0.06%
PudgyPresent,6.72Ξ,13,0.48Ξ,2.56%,40%,-2,3.60%,0.11%
KaijuKingz,6.65Ξ,17,0.22Ξ,4.18%,35%,2,4.10%,-0.07%
Jenkins the Valet,6.27Ξ,8,0.23Ξ,-5.86%,41%,-1,1.90%,0.16%
ALIENFRENS,6.19Ξ,13,0.4Ξ,-6.97%,63%,4,5.10%,0.03%
Murakami.Flowers,6.08Ξ,6,0.93Ξ,-2.61%,57%,-2,5.20%,0.13%
Kitaro World,6.03Ξ,34,0.14Ξ,-5.73%,34%,-2,13.20%,0.13%
NFT Worlds,5.97Ξ,7,0.77Ξ,0%,10%,-4,0.80%,-0.03%
Bored & Dangerous,5.89Ξ,39,0.17Ξ,21.45%,26%,-8,2.30%,-0.18%
Admit One,5.77Ξ,2,3.14Ξ,-1.83%,89%,0,3.50%,-0.30%
10KTF,5.75Ξ,15,0.35Ξ,-1.39%,28%,8,3.10%,0.18%
RugGenesis NFT,5.54Ξ,13,0.43Ξ,1.86%,41%,-4,1.60%,-0.01%
oncyber labs,5.5Ξ,12,0.34Ξ,40.52%,178100%,1,100%,0.00%
Keepers,5.44Ξ,29,0.16Ξ,-6.71%,33%,0,10.90%,0.20%
Invisible Friends ...,5.39Ξ,17,0.3Ξ,0.06%,65%,0,11.20%,0.12%
Alfa Card,5.34Ξ,14,0.45Ξ,33.13%,79%,1,1.30%,-0.12%
MAX PAIN AND FRENS...,5.22Ξ,6,0.87Ξ,0.34%,59%,4,2.10%,-0.01%
projectPXN,5.16Ξ,17,0.32Ξ,12.32%,51%,-22,2.40%,-0.24%
Pixelated Llama,5.13Ξ,4,1.2Ξ,-6.98%,6%,0,1.50%,-0.18%
Genesis Box,4.88Ξ,17,0.3Ξ,7.52%,22%,-5,1.30%,-0.05%
Gutter Cat Gang,4.88Ξ,3,1.75Ξ,-6.37%,59%,2,7%,0.30%
Psychedelics Anony...,4.82Ξ,12,0.39Ξ,4.63%,36%,0,4.70%,0.20%
Cool Pets,4.67Ξ,27,0.11Ξ,-0.09%,46%,2,1.90%,-0.02%
Cold Blooded Creep...,4.59Ξ,2,1.88Ξ,-9.14%,6%*,+5*,2.50%,0.02%
Chimpers,4.56Ξ,2,1.69Ξ,-3.38%,12%,-1,2.80%,-0.09%
Imaginary Ones,4.53Ξ,8,0.49Ξ,-3.86%,19%,-5,1.40%,0.00%
#LetsWalk,4.29Ξ,2,1.9Ξ,-1.01%,59%,0,4.10%,-0.06%
Underground,4.12Ξ,1,4.88Ξ,-2.01%,95%,0,0%,0.00%
OnChainMonkey,4.06Ξ,4,0.97Ξ,0%,31%,3,1.60%,0.06%
adidas Originals: ...,3.99Ξ,12,0.35Ξ,-0.30%,65%,-4,0%,0.00%
CryptoonGoonz,3.94Ξ,9,0.28Ξ,-23.92%,42%,20,4.50%,-0.09%
